HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling;Mean years of schooling;;;
Developing countries;0,685;69,9;12,3;7,5;10 704;;;
Least developed countries;0,540;64,2;10,2;5,2;2 881;;;
Small island developing states;0,730;70,3;12,4;9,1;16 782;;;
Organisation for Economic Co-operation and Development;0,899;79,0;16,5;12,3;45 087;;;
World;0,732;71,4;12,8;8,6;16 752;;;
